date,age,height_cm,body_weight_kg,training_experience_months,sleep_hours,sleep_quality,stress_level,muscle_soreness,days_since_last_training_same_muscle,last_meal_calories,last_meal_carbs_g,last_meal_protein_g,last_meal_fat_g,minutes_since_last_meal,water_before_workout_ml,caffeine_mg,exercise,weight_lifted_kg,set_number,previous_session_reps,recent_average_reps,actual_reps,performance_class,readiness_score
2024-06-17,41,167.1,80.4,61,6.6,3,1,2,1,1077,127.8,39.9,45.1,166,1392,150,Squat,70.4,2,14,12.9,15,Above Normal,91.8
2024-06-18,34,182.1,83.9,99,6.2,1,4,5,5,979,97.2,32.7,51.0,276,1136,300,Barbell Row,80.7,3,9,7.5,6,Normal,27.4
2024-06-19,35,165.1,76.2,108,6.4,3,4,1,3,840,98.9,40.4,31.4,37,535,100,Squat,89.2,4,15,13.0,12,Normal,50.5
2024-06-20,44,172.9,61.6,33,8.9,4,4,1,6,929,120.5,34.6,34.3,42,1428,300,Deadlift,100.2,4,14,11.7,12,Normal,82.8
2024-06-21,30,174.0,69.1,14,7.3,3,2,4,1,909,100.4,43.2,37.2,82,447,150,Squat,63.0,4,9,8.9,9,Normal,52.6
2024-06-22,27,189.3,59.0,93,7.2,4,2,1,7,969,135.9,37.8,30.5,251,1003,50,Barbell Row,63.4,3,13,11.0,13,Above Normal,88.5
2024-06-23,45,171.8,58.1,83,6.7,3,5,3,4,722,87.2,29.9,28.2,353,1038,80,Bench Press,67.6,4,14,11.9,12,Normal,49.7
2024-06-24,33,153.0,81.6,40,9.7,3,1,2,4,780,91.1,5.0,44.0,231,1449,100,Bench Press,67.4,5,9,10.6,9,Below Normal,79.0
2024-06-25,35,179.5,60.3,72,8.4,5,4,4,4,649,91.6,42.9,12.3,317,898,0,Deadlift,117.7,4,11,11.7,12,Normal,55.9
2024-06-26,26,168.7,80.5,23,6.2,3,4,1,1,781,90.9,29.4,33.3,320,1493,300,Barbell Row,50.0,3,6,8.3,7,Normal,50.4
2024-06-27,24,175.4,57.8,85,6.7,3,4,2,3,574,65.1,46.7,14.1,114,498,50,Barbell Row,73.1,5,17,15.5,14,Normal,61.8
2024-06-28,22,174.2,80.1,88,6.8,3,3,5,5,355,33.4,42.2,5.8,82,1223,200,Lat Pulldown,54.2,5,3,5.7,2,Below Normal,46.1
2024-06-29,24,172.5,69.2,36,7.2,4,4,2,7,1042,114.8,29.8,51.5,74,443,300,Barbell Row,57.5,4,9,11.9,13,Normal,69.5
2024-06-30,23,182.1,95.7,57,6.2,2,5,3,7,844,94.8,50.3,29.3,290,1499,100,Barbell Row,62.3,5,10,11.4,7,Below Normal,42.4
2024-07-01,38,161.2,80.5,41,7.5,2,4,5,4,849,83.9,38.1,40.1,248,1169,150,Deadlift,106.0,2,9,12.1,9,Below Normal,41.1
2024-07-02,19,170.3,93.3,4,8.6,3,1,4,2,488,60.6,37.5,10.6,314,976,150,Squat,63.3,3,9,8.7,12,Above Normal,69.4
2024-07-03,35,181.2,65.4,16,5.6,3,2,4,4,905,87.3,32.9,47.1,192,192,250,Lat Pulldown,40.0,2,12,13.4,13,Normal,45.3
2024-07-04,44,169.5,76.8,116,5.8,3,2,5,4,691,70.1,60.3,18.8,352,796,0,Overhead Press,42.4,2,8,10.2,8,Below Normal,45.5
2024-07-05,39,160.5,62.3,55,6.5,3,2,4,3,315,38.6,24.3,7.0,324,301,80,Squat,75.5,4,7,7.5,4,Below Normal,40.6
2024-07-06,29,181.0,70.2,18,6.5,4,2,5,3,1062,110.8,30.2,55.3,295,1385,150,Bench Press,44.8,4,8,7.8,5,Below Normal,56.6
2024-07-07,19,185.1,72.3,6,9.2,5,2,3,7,1094,139.5,16.4,52.3,293,631,0,Lat Pulldown,41.6,1,8,10.8,12,Normal,75.1
2024-07-08,41,174.6,65.8,43,8.1,3,4,5,3,990,129.4,45.9,32.1,62,1264,250,Squat,77.0,4,5,6.5,6,Normal,64.1
2024-07-09,18,157.4,59.0,118,8.0,3,1,4,1,654,69.5,26.3,30.1,273,1369,200,Barbell Row,75.2,1,15,15.0,17,Above Normal,61.9
2024-07-10,37,181.4,56.2,47,6.7,3,4,2,6,448,41.6,27.9,18.9,342,254,0,Squat,85.3,1,13,13.1,10,Below Normal,41.4
2024-07-11,36,160.1,45.0,120,6.7,2,4,3,5,259,30.6,27.2,5.0,119,1163,0,Bench Press,68.1,3,15,15.1,13,Below Normal,49.0
2024-07-12,23,177.8,61.2,59,5.4,2,5,2,3,876,81.7,35.9,45.1,297,524,50,Lat Pulldown,45.2,2,17,14.8,14,Normal,39.5
2024-07-13,38,167.0,84.8,92,7.9,4,1,2,5,1008,120.7,16.2,51.2,139,252,200,Bench Press,68.5,5,13,9.6,14,Above Normal,84.1
2024-07-14,22,164.6,53.6,95,7.5,2,2,2,7,338,44.9,5.0,15.4,92,465,150,Bench Press,64.6,1,8,8.3,10,Above Normal,68.4
2024-07-15,24,171.0,56.8,4,8.4,4,5,3,7,832,105.1,41.9,27.1,269,870,100,Overhead Press,25.6,1,2,3.8,4,Normal,60.9
2024-07-16,40,173.4,101.1,1,6.8,3,3,2,6,272,31.4,5.0,14.0,76,1298,150,Barbell Row,50.8,4,9,9.5,7,Below Normal,64.7
2024-07-17,45,169.2,67.1,111,6.8,4,3,4,5,910,133.4,47.8,20.6,184,1069,100,Bench Press,61.7,2,15,14.9,13,Below Normal,61.6
2024-07-18,25,180.3,80.5,112,7.2,2,1,2,1,273,25.6,58.4,5.0,339,426,80,Squat,130.5,4,8,8.4,7,Normal,52.8
2024-07-19,43,171.0,85.0,16,8.0,3,4,3,4,1080,153.9,32.5,37.2,73,514,0,Lat Pulldown,43.6,4,11,10.0,10,Normal,67.0
2024-07-20,43,183.8,85.3,78,5.4,2,2,1,6,394,54.2,54.5,5.0,73,525,0,Barbell Row,68.8,1,12,9.1,10,Normal,57.3
2024-07-21,39,177.5,54.7,111,7.8,4,5,2,6,590,67.1,34.6,20.4,341,1131,200,Deadlift,141.2,3,9,11.4,10,Normal,63.6
2024-07-22,21,168.7,72.8,115,7.0,3,2,2,6,841,81.6,59.0,31.0,284,826,200,Bench Press,82.3,3,13,13.7,13,Normal,66.2
2024-07-23,26,167.2,53.3,36,5.8,4,1,5,7,970,94.3,28.2,53.3,177,133,50,Bench Press,66.3,1,9,6.7,7,Normal,63.2
2024-07-24,36,160.2,110.2,99,4.7,2,3,3,4,559,81.1,5.0,23.8,158,206,50,Squat,87.1,4,6,7.1,7,Normal,45.2
2024-07-25,45,177.6,53.7,78,6.8,3,3,1,1,1084,110.7,33.8,56.2,348,205,100,Bench Press,65.4,5,15,14.2,12,Below Normal,61.6
2024-07-26,40,171.8,61.3,112,8.6,4,3,2,4,263,37.4,60.6,5.0,266,1446,200,Overhead Press,41.9,5,13,12.3,11,Normal,68.7
2024-07-27,29,153.7,61.4,18,8.8,4,5,4,3,651,77.4,43.0,18.8,329,807,150,Bench Press,40.1,1,12,9.9,11,Normal,59.5
2024-07-28,24,170.2,55.0,73,7.4,4,2,1,6,1090,126.8,27.3,52.6,51,787,150,Deadlift,101.7,1,18,14.8,18,Above Normal,78.1
2024-07-29,44,166.9,94.9,3,9.2,3,2,1,6,483,61.0,39.9,8.8,200,1166,0,Lat Pulldown,48.0,5,8,7.1,6,Normal,71.5
2024-07-30,25,189.2,109.9,43,7.0,2,4,2,3,703,71.0,49.6,24.5,267,366,100,Overhead Press,34.4,2,10,12.8,13,Normal,46.6
2024-07-31,27,159.7,69.3,2,8.0,4,1,2,3,628,71.8,33.7,22.9,32,144,250,Bench Press,57.0,4,9,10.3,9,Normal,71.4
2024-08-01,45,162.0,57.5,54,6.5,4,5,3,2,585,85.5,74.4,5.0,194,479,150,Lat Pulldown,63.6,2,15,12.0,12,Normal,42.3
2024-08-02,33,185.0,45.0,98,6.4,1,2,1,1,903,92.5,27.2,47.1,38,392,250,Lat Pulldown,82.9,2,2,4.5,6,Normal,55.0
2024-08-03,25,187.2,72.6,79,6.3,4,2,4,3,691,100.3,50.0,10.0,327,1218,200,Lat Pulldown,69.5,4,11,9.8,8,Below Normal,59.5
2024-08-04,18,168.3,71.6,39,4.7,2,1,2,2,857,128.2,46.4,17.6,252,1246,300,Bench Press,71.9,2,9,12.3,12,Normal,56.9
2024-08-05,30,169.3,66.9,52,8.4,2,2,4,2,692,62.8,24.5,38.1,84,988,150,Bench Press,61.9,1,8,10.3,12,Above Normal,73.3
2024-08-06,45,180.5,79.1,45,6.3,1,3,3,7,1098,132.5,28.6,50.4,197,1374,150,Barbell Row,54.7,3,15,13.6,13,Normal,44.9
2024-08-07,30,154.1,81.5,88,6.1,1,4,2,5,650,63.9,50.3,21.5,57,750,150,Deadlift,121.5,1,14,13.6,14,Normal,52.5
2024-08-08,37,158.2,80.5,32,5.7,2,5,3,4,927,117.1,37.2,34.4,294,436,80,Squat,75.0,1,8,8.1,10,Above Normal,36.5
2024-08-09,25,172.5,71.6,12,6.8,3,4,1,2,771,115.1,40.1,16.7,86,564,100,Deadlift,84.0,4,11,12.6,12,Normal,73.1
2024-08-10,39,188.9,60.6,61,8.9,4,2,4,6,931,133.6,10.5,39.4,227,298,50,Overhead Press,41.6,3,5,8.0,8,Normal,68.1
2024-08-11,39,171.1,85.3,100,9.3,4,5,2,5,1003,145.7,44.8,26.8,46,1361,100,Barbell Row,63.3,3,12,10.6,11,Normal,66.9
2024-08-12,35,175.9,76.2,58,5.2,1,1,2,4,442,44.6,39.3,11.8,73,946,50,Squat,70.7,1,12,12.1,12,Normal,53.9
2024-08-13,39,185.2,88.4,25,6.6,2,2,1,4,506,61.4,34.0,13.8,354,1182,100,Barbell Row,50.4,1,6,8.4,10,Above Normal,62.5
2024-08-14,34,194.0,87.1,6,5.9,2,2,2,4,506,51.7,40.4,15.3,151,494,300,Bench Press,43.2,2,13,12.5,12,Normal,60.7
2024-08-15,28,169.8,56.1,114,8.1,4,3,2,6,664,95.4,28.9,18.5,61,1106,100,Overhead Press,43.7,2,10,9.2,8,Normal,76.5
2024-08-16,38,174.8,55.9,92,7.3,3,2,2,6,668,66.4,26.1,33.1,258,563,200,Overhead Press,42.6,3,9,9.0,9,Normal,58.4
2024-08-17,41,191.4,65.4,19,6.3,3,5,5,4,253,24.6,31.4,5.0,88,724,100,Bench Press,48.4,1,12,12.3,10,Below Normal,38.6
2024-08-18,41,161.3,61.2,9,7.1,3,2,2,5,1012,89.3,28.0,60.3,220,1013,300,Bench Press,54.3,5,8,8.4,8,Normal,67.4
2024-08-19,23,184.2,86.6,16,6.5,2,2,1,7,981,97.0,67.7,35.8,296,1474,50,Deadlift,82.6,2,7,8.3,9,Normal,69.8
2024-08-20,36,165.8,80.9,46,8.8,3,4,3,3,761,75.6,48.7,29.3,253,882,250,Barbell Row,61.0,5,13,13.1,13,Normal,56.2
2024-08-21,18,175.9,91.4,98,7.6,4,3,2,7,510,47.1,20.5,26.6,104,1094,200,Overhead Press,45.4,3,12,10.8,10,Normal,68.9
2024-08-22,34,172.8,81.6,20,7.7,3,3,3,5,953,135.1,65.5,16.7,100,933,300,Barbell Row,46.5,3,8,6.9,7,Normal,73.5
2024-08-23,33,166.4,78.9,99,4.1,1,5,4,2,480,65.4,28.5,11.6,95,693,50,Lat Pulldown,62.3,1,14,12.6,12,Normal,34.0
2024-08-24,28,166.2,92.8,1,6.9,4,3,1,7,510,52.7,35.4,17.5,235,1406,300,Deadlift,65.5,4,8,9.5,7,Below Normal,65.2
2024-08-25,45,177.5,82.6,89,9.3,5,1,3,5,1098,149.8,48.5,33.9,249,1445,300,Lat Pulldown,61.3,1,8,7.0,10,Above Normal,81.8
2024-08-26,42,184.0,77.0,34,8.5,4,4,1,3,1036,118.0,5.5,60.2,197,534,80,Bench Press,60.3,4,5,4.2,2,Below Normal,71.5
2024-08-27,19,173.8,96.7,116,5.0,3,4,1,2,747,101.6,31.4,23.9,155,1354,150,Bench Press,86.1,5,12,12.8,13,Normal,67.4
2024-08-28,23,175.6,77.6,58,6.7,4,2,1,7,394,42.4,26.4,13.2,41,732,150,Lat Pulldown,43.4,2,8,8.4,9,Normal,67.2
2024-08-29,23,180.1,71.7,33,5.7,2,5,1,6,354,43.5,38.1,5.0,304,1136,0,Lat Pulldown,37.7,5,8,7.4,6,Normal,51.2
2024-08-30,43,166.3,64.3,30,8.9,4,2,2,1,1070,119.1,40.6,47.9,245,824,150,Squat,69.5,4,14,12.1,14,Above Normal,86.3
2024-08-31,32,181.7,85.8,100,7.3,2,1,5,5,475,47.1,33.8,16.8,237,1174,200,Overhead Press,52.1,1,10,12.5,12,Normal,52.3
2024-09-01,38,182.4,93.3,49,6.2,2,1,5,1,829,102.9,33.1,31.7,55,1321,50,Overhead Press,37.1,2,11,8.5,8,Normal,40.8
2024-09-02,40,198.4,75.3,43,7.0,2,4,1,3,550,73.9,51.0,5.6,118,693,80,Barbell Row,47.8,4,15,12.8,13,Normal,61.6
2024-09-03,39,171.6,94.3,89,4.1,1,2,5,4,672,90.4,39.5,16.9,123,1081,150,Overhead Press,35.4,4,16,15.6,15,Normal,37.1
2024-09-04,20,170.9,48.4,65,5.8,2,3,4,2,1089,119.5,35.6,52.1,223,810,300,Deadlift,98.0,1,14,13.9,12,Below Normal,37.3
2024-09-05,21,181.9,75.2,80,7.0,3,4,3,4,754,90.4,37.2,27.1,288,1219,0,Squat,84.6,4,14,13.5,13,Normal,53.5
2024-09-06,29,182.4,75.4,54,7.9,4,5,4,4,616,83.3,62.5,5.0,315,368,300,Deadlift,113.2,5,10,11.3,6,Below Normal,45.2
2024-09-07,27,170.2,65.8,8,4.9,2,3,3,5,603,54.8,37.6,25.9,198,1121,250,Overhead Press,32.9,1,9,9.4,6,Below Normal,33.7
2024-09-08,38,171.4,109.4,1,6.6,1,5,2,6,445,40.9,27.3,19.1,144,934,250,Barbell Row,36.9,5,8,10.4,9,Normal,53.8
2024-09-09,22,179.9,75.1,5,8.1,3,2,3,2,723,80.3,6.4,41.8,159,732,0,Deadlift,86.5,3,9,11.6,11,Normal,70.6
2024-09-10,28,167.6,70.3,69,5.4,1,5,4,6,734,74.5,13.5,42.4,271,618,150,Squat,95.8,4,11,7.4,5,Below Normal,26.2
2024-09-11,24,171.3,76.4,62,7.3,3,2,4,2,330,36.6,28.0,8.0,128,1083,80,Squat,74.0,1,9,8.6,10,Normal,68.1
2024-09-12,23,175.8,48.0,90,7.1,3,1,1,1,594,55.5,33.4,26.5,161,586,300,Lat Pulldown,58.5,4,7,6.9,6,Normal,72.2
2024-09-13,22,184.0,65.4,108,8.9,4,4,5,4,798,99.4,26.7,32.6,288,146,200,Lat Pulldown,65.8,3,11,11.1,9,Below Normal,56.5
2024-09-14,23,169.6,89.8,21,6.7,2,4,2,3,296,38.3,40.3,5.0,205,1428,200,Bench Press,52.2,2,9,10.7,8,Below Normal,50.0
2024-09-15,33,158.4,67.2,115,6.8,3,5,5,2,1080,147.9,26.5,42.5,179,727,0,Bench Press,60.9,4,8,8.9,5,Below Normal,53.8
2024-09-16,29,157.8,64.4,112,7.9,3,5,2,3,982,125.9,21.3,43.7,270,330,300,Overhead Press,47.4,2,13,12.6,13,Normal,48.8
2024-09-17,30,163.7,94.3,74,5.5,1,1,1,7,792,88.9,44.2,28.8,118,416,100,Bench Press,70.5,1,8,7.9,9,Normal,71.3
2024-09-18,31,163.2,94.8,64,6.8,3,4,5,5,263,38.4,55.5,5.0,40,1262,50,Lat Pulldown,63.2,3,8,8.8,8,Normal,35.7
2024-09-19,38,173.6,83.2,22,6.5,3,4,3,6,690,91.7,18.4,27.7,288,564,250,Squat,65.5,4,13,12.5,11,Normal,60.5
2024-09-20,42,164.3,69.6,22,6.8,4,4,2,2,1014,122.2,38.7,41.2,175,494,300,Bench Press,48.1,1,13,12.8,14,Normal,61.4
2024-09-21,32,168.7,72.6,3,7.9,3,1,1,1,269,27.0,6.4,15.0,130,782,100,Barbell Row,41.7,5,9,8.5,9,Normal,87.9
2024-09-22,35,168.0,64.7,78,7.6,4,1,1,3,923,118.2,12.9,44.3,52,140,200,Bench Press,69.0,4,12,11.1,11,Normal,75.4
2024-09-23,38,171.0,62.1,52,6.2,2,4,1,6,964,120.0,26.2,42.1,335,884,150,Squat,83.5,5,8,8.6,7,Below Normal,61.4
2024-09-24,37,186.9,61.4,24,7.2,4,5,5,7,314,40.9,52.0,5.0,267,156,80,Bench Press,55.8,3,10,10.0,8,Below Normal,32.8
2024-09-25,21,181.0,67.3,17,8.6,3,1,1,1,446,60.8,23.3,12.2,113,1270,200,Bench Press,43.3,1,13,10.9,12,Normal,86.6
2024-09-26,45,175.1,61.5,8,6.1,2,1,1,4,865,125.2,22.8,30.3,227,701,300,Bench Press,49.9,1,10,11.9,12,Normal,51.0
2024-09-27,22,170.9,54.1,77,7.2,1,3,5,3,1025,150.5,35.5,31.2,178,405,300,Bench Press,60.4,3,8,11.3,12,Normal,57.6
2024-09-28,29,171.1,79.1,83,6.8,3,2,5,6,906,115.0,35.6,33.7,131,736,200,Bench Press,66.8,3,12,11.2,13,Above Normal,60.3
2024-09-29,36,177.9,79.3,76,6.9,3,5,2,2,697,103.1,23.2,21.3,126,345,80,Bench Press,79.6,4,7,7.8,5,Below Normal,43.8
2024-09-30,29,180.3,99.8,14,5.2,2,5,4,4,762,110.1,64.8,6.9,46,548,300,Overhead Press,25.2,4,10,11.5,8,Below Normal,28.2
2024-10-01,24,166.8,66.6,5,8.6,5,3,3,6,696,61.0,31.0,36.4,352,283,300,Lat Pulldown,38.3,4,13,11.9,11,Normal,65.4
2024-10-02,43,175.3,80.1,13,6.1,2,5,3,4,741,94.4,36.7,24.1,335,1036,0,Deadlift,70.3,3,12,12.2,10,Below Normal,36.2
2024-10-03,20,156.7,80.4,91,8.1,3,2,2,6,905,89.3,29.0,48.0,316,1467,80,Squat,98.9,1,7,8.7,9,Normal,70.4
2024-10-04,24,176.9,72.4,89,6.3,2,5,4,5,292,30.9,41.6,5.0,127,779,150,Deadlift,132.6,3,16,12.8,11,Below Normal,39.8
2024-10-05,45,181.9,86.4,36,6.3,2,3,5,5,428,45.4,53.5,5.0,359,238,150,Barbell Row,52.0,5,5,7.2,2,Below Normal,35.7
2024-10-06,38,172.5,86.9,7,8.3,4,3,4,2,300,35.3,60.0,5.0,113,203,200,Barbell Row,43.1,5,9,9.4,8,Normal,61.0
2024-10-07,20,191.3,80.6,39,8.1,5,1,5,7,927,81.7,23.6,56.2,301,1265,150,Bench Press,65.0,5,7,9.8,5,Below Normal,77.6
2024-10-08,39,167.1,72.4,98,7.2,3,1,1,2,868,88.7,51.5,34.1,54,587,0,Bench Press,74.9,1,8,7.3,9,Above Normal,75.9
2024-10-09,45,177.0,71.0,18,7.8,3,1,4,7,295,26.3,43.2,5.0,125,514,50,Squat,76.6,3,9,9.8,8,Below Normal,63.2
2024-10-10,20,174.7,56.9,96,6.7,2,3,5,7,339,43.4,49.6,5.0,216,242,250,Squat,107.5,4,12,11.1,9,Below Normal,23.7
2024-10-11,29,174.1,64.7,56,7.0,4,1,3,4,475,68.0,33.6,7.6,350,1029,200,Overhead Press,24.4,2,6,5.9,8,Above Normal,67.8
2024-10-12,31,174.0,67.3,17,6.3,4,1,5,7,455,68.2,32.2,5.9,110,188,200,Deadlift,84.0,3,12,9.5,11,Normal,58.7
2024-10-13,21,176.0,60.3,113,8.0,3,4,2,6,691,79.8,49.0,19.5,167,1366,100,Bench Press,66.3,1,5,6.1,7,Normal,73.9
2024-10-14,23,182.6,82.2,63,6.2,1,5,5,6,674,69.9,49.3,21.9,307,391,80,Squat,78.0,1,13,15.6,12,Below Normal,23.9
2024-10-15,22,187.4,92.8,81,8.6,3,1,5,1,554,78.0,58.5,5.0,181,196,80,Deadlift,134.3,1,11,11.0,11,Normal,59.8
2024-10-16,23,175.0,63.3,12,6.7,3,3,4,1,389,36.8,38.0,10.0,252,1081,200,Bench Press,46.6,5,10,10.8,9,Below Normal,51.0
2024-10-17,29,182.3,80.0,45,7.0,3,5,4,1,802,119.0,33.4,21.4,162,596,150,Lat Pulldown,59.9,5,8,11.1,7,Below Normal,51.5
2024-10-18,30,168.7,61.5,76,7.8,2,3,3,1,922,121.9,5.0,46.0,21,1075,50,Bench Press,54.9,3,10,12.0,13,Normal,64.5
2024-10-19,24,181.9,71.7,78,7.0,3,1,2,6,794,94.5,10.8,41.4,116,155,100,Barbell Row,53.5,1,12,12.9,14,Normal,83.6
2024-10-20,26,168.1,66.3,8,6.7,4,1,3,2,937,87.6,29.1,52.2,212,1306,250,Bench Press,52.0,2,9,6.6,8,Normal,62.4
2024-10-21,23,184.8,84.4,73,7.0,3,5,5,1,1027,91.0,18.5,65.4,26,533,150,Lat Pulldown,53.0,3,15,13.8,10,Below Normal,38.3
2024-10-22,40,194.9,66.5,114,8.0,5,3,1,7,966,117.4,47.2,34.2,99,1159,250,Barbell Row,73.1,1,13,13.6,15,Normal,100.0
2024-10-23,23,173.9,90.2,95,6.3,3,1,2,2,804,91.1,15.3,42.0,345,1410,150,Barbell Row,64.9,4,11,10.3,8,Below Normal,63.2
2024-10-24,43,155.3,72.6,25,6.9,2,5,3,6,292,40.9,27.5,5.0,25,850,100,Lat Pulldown,43.5,5,7,10.2,8,Below Normal,45.4
2024-10-25,33,170.1,66.9,110,7.0,3,5,2,7,534,68.2,28.1,16.5,104,568,300,Lat Pulldown,61.4,5,2,3.0,1,Below Normal,61.0
2024-10-26,40,186.1,58.5,82,8.0,3,4,4,4,614,70.3,53.1,13.4,231,537,150,Overhead Press,42.6,5,8,7.4,6,Normal,40.8
2024-10-27,35,180.0,79.5,7,6.9,2,1,2,7,856,87.0,25.9,44.9,212,1061,50,Lat Pulldown,43.2,5,12,11.8,11,Normal,70.9
2024-10-28,25,177.2,88.5,16,9.0,3,1,4,7,970,114.0,41.8,38.5,89,108,100,Bench Press,59.5,1,13,13.5,15,Normal,72.2
2024-10-29,34,184.1,79.8,111,6.8,4,2,1,2,794,77.6,37.9,36.9,40,305,200,Overhead Press,45.4,3,12,12.3,12,Normal,67.2
2024-10-30,25,179.4,107.3,26,6.7,2,1,2,2,559,72.2,48.5,8.5,326,1006,80,Deadlift,84.7,3,11,10.3,10,Normal,63.0
2024-10-31,21,186.0,96.0,12,6.8,4,3,4,3,920,115.3,47.8,29.7,207,135,100,Barbell Row,42.2,1,15,15.3,15,Normal,56.5
2024-11-01,25,183.3,71.7,55,5.6,2,2,3,4,842,116.3,34.5,26.5,215,505,250,Deadlift,120.2,1,14,13.0,14,Normal,48.2
2024-11-02,25,188.7,71.5,64,5.9,2,4,4,6,929,107.4,9.6,51.2,39,1007,100,Deadlift,115.1,3,10,9.5,9,Normal,39.2
2024-11-03,21,178.2,82.6,69,6.4,3,1,4,2,751,78.8,31.5,34.4,91,450,80,Overhead Press,30.5,4,17,16.0,19,Above Normal,58.8
2024-11-04,18,183.1,64.3,80,8.2,3,4,2,2,800,111.8,34.7,23.8,44,1403,0,Squat,71.3,2,10,7.8,11,Above Normal,63.6
2024-11-05,44,172.2,92.3,120,7.0,3,5,3,3,545,71.2,39.3,11.4,353,1465,100,Bench Press,70.2,3,8,6.8,4,Below Normal,44.5
2024-11-06,32,169.6,81.1,92,6.5,1,1,5,2,590,77.7,23.9,20.4,282,147,250,Deadlift,122.5,1,12,9.4,9,Normal,34.1
2024-11-07,29,190.4,79.6,4,8.3,4,4,5,7,485,58.4,52.1,5.0,206,344,80,Deadlift,78.5,1,8,8.6,8,Normal,46.4
2024-11-08,44,176.9,85.6,11,8.7,2,3,1,3,468,66.6,35.2,6.8,252,1371,100,Squat,71.3,3,7,9.6,11,Normal,74.1
2024-11-09,24,182.2,100.1,1,8.4,4,1,4,7,805,81.9,21.2,43.6,76,145,200,Squat,62.0,3,12,12.5,13,Normal,78.3
2024-11-10,29,176.1,78.4,48,6.1,3,2,3,1,576,64.9,28.1,22.7,356,781,300,Squat,94.6,4,10,10.4,10,Normal,51.9
2024-11-11,41,169.7,74.4,43,6.5,3,4,1,1,363,49.8,63.9,5.0,196,1430,250,Squat,86.5,5,13,10.5,7,Below Normal,57.3
2024-11-12,35,175.1,97.1,113,9.0,3,5,4,6,279,26.7,45.0,5.0,196,924,80,Squat,106.4,1,9,10.6,8,Below Normal,44.4
2024-11-13,29,187.9,89.5,44,7.3,2,2,1,2,981,135.4,50.7,26.3,347,528,50,Lat Pulldown,55.3,2,5,4.7,8,Above Normal,70.3
2024-11-14,25,180.0,71.5,4,6.7,2,1,2,1,620,67.9,19.4,30.1,52,108,200,Squat,51.7,5,7,6.7,5,Below Normal,54.7
2024-11-15,18,159.6,76.1,107,7.8,4,2,4,5,740,70.6,24.7,39.9,164,651,80,Barbell Row,68.0,1,10,9.5,10,Normal,69.0
2024-11-16,20,173.1,78.7,32,8.1,2,5,5,2,1020,94.3,24.8,60.4,50,859,100,Barbell Row,50.8,5,8,8.4,6,Below Normal,42.3
2024-11-17,22,191.0,81.1,110,6.4,3,3,3,1,344,48.2,37.8,5.0,165,213,0,Deadlift,136.6,5,10,9.9,7,Below Normal,52.7
2024-11-18,40,173.1,57.0,93,7.2,3,3,5,3,1047,142.6,32.4,38.6,111,840,250,Squat,77.7,1,16,14.0,15,Normal,61.7
2024-11-19,35,158.8,54.4,106,8.0,3,1,5,4,848,89.5,27.7,42.1,177,666,50,Overhead Press,44.2,1,13,10.3,10,Normal,66.3
2024-11-20,30,192.0,63.6,99,5.7,3,4,3,4,794,75.2,29.5,41.7,259,556,100,Lat Pulldown,64.1,4,7,7.2,4,Below Normal,38.3
2024-11-21,39,181.1,62.5,18,7.0,3,3,1,5,616,63.4,23.1,30.0,115,1462,100,Overhead Press,32.8,3,7,8.5,8,Normal,73.2
2024-11-22,22,174.4,67.0,76,5.8,2,3,4,1,851,85.8,32.3,42.1,37,1352,0,Lat Pulldown,63.9,5,17,14.8,15,Normal,45.4
2024-11-23,23,171.7,84.9,50,5.9,1,5,1,3,423,56.4,51.7,5.0,75,1072,250,Overhead Press,39.7,3,13,14.3,14,Normal,51.8
2024-11-24,28,184.7,73.6,76,6.4,3,3,5,3,507,51.2,12.3,28.1,264,927,150,Overhead Press,40.4,4,15,12.0,11,Normal,34.8
2024-11-25,43,170.1,78.7,90,7.5,2,5,2,3,1067,107.8,40.2,52.8,217,763,150,Squat,104.6,2,9,6.6,7,Normal,58.9
2024-11-26,35,185.3,58.9,61,6.6,2,3,4,4,484,43.3,55.7,9.8,353,198,50,Lat Pulldown,51.2,2,14,11.3,12,Normal,30.9
2024-11-27,41,179.9,69.5,38,6.3,3,2,4,2,862,107.6,32.3,33.6,324,530,0,Squat,78.6,1,12,11.5,10,Normal,47.9
2024-11-28,24,177.2,84.2,110,7.1,4,5,3,5,1041,135.9,27.1,43.2,74,114,0,Lat Pulldown,69.8,1,7,10.6,9,Below Normal,58.1
2024-11-29,41,176.3,84.3,80,5.7,2,4,5,7,754,96.8,48.9,19.0,270,612,200,Barbell Row,61.7,1,8,9.1,8,Normal,30.7
2024-11-30,20,173.4,65.9,107,7.5,4,4,4,5,503,61.9,20.2,19.4,50,763,200,Bench Press,77.7,5,10,9.6,7,Below Normal,38.9
2024-12-01,24,184.4,78.3,29,8.2,2,2,5,3,972,143.7,34.7,28.7,52,956,250,Overhead Press,36.6,1,8,8.9,9,Normal,59.5
2024-12-02,32,167.2,106.8,101,6.9,3,4,1,4,953,111.5,19.4,47.7,290,597,250,Bench Press,79.1,3,7,7.6,7,Normal,68.4
2024-12-03,19,160.4,75.8,39,6.8,3,3,3,5,712,100.6,6.9,31.3,156,456,100,Lat Pulldown,54.5,3,15,13.9,16,Above Normal,65.9
2024-12-04,42,180.5,66.3,56,7.4,4,1,5,6,347,44.4,32.7,5.0,360,1094,0,Bench Press,77.6,1,12,12.7,14,Normal,46.0
